lead_id,company_name,headquarters_country,industry,company_website,lead_source
L-001,NAVER,KR,인터넷·AI·커머스,https://www.navercorp.com,합성 콘텐츠 다운로드
L-002,카카오,KR,플랫폼·메신저,https://www.kakaocorp.com,합성 웨비나
L-003,우아한형제들,KR,배달 플랫폼,https://www.woowahan.com,합성 캠페인
L-004,야놀자,KR,여행·숙박,https://www.yanolja.co,합성 콘텐츠 다운로드
L-005,무신사,KR,이커머스,https://www.musinsa.com,합성 이벤트
L-006,컬리,KR,이커머스·리테일,https://www.kurly.com,합성 웨비나
L-007,당근,KR,지역 커뮤니티·거래,https://www.daangn.com,합성 콘텐츠 다운로드
L-008,직방,KR,프롭테크,https://www.zigbang.com,합성 캠페인
L-009,리디,KR,콘텐츠,https://ridicorp.com,합성 이벤트
L-010,비바리퍼블리카,KR,핀테크,https://toss.im,합성 웨비나
L-011,두나무,KR,디지털 자산,https://www.dunamu.com,합성 콘텐츠 다운로드
L-012,여기어때컴퍼니,KR,여행·숙박,https://www.gccompany.co.kr,합성 캠페인
L-013,쏘카,KR,모빌리티,https://www.socar.kr,합성 이벤트
L-014,번개장터,KR,C2C 거래,https://bgzt.co.kr,합성 웨비나
L-015,버킷플레이스,KR,홈·라이프스타일 플랫폼,https://bucketplace.com,합성 콘텐츠 다운로드
L-016,클래스101,KR,에듀테크,https://class101.net,합성 캠페인
L-017,원티드랩,KR,HR 테크,https://www.wantedlab.com,합성 이벤트
L-018,뤼이드,KR,AI 에듀테크,https://www.riiid.co,합성 웨비나
L-019,메가존클라우드,KR,클라우드 MSP,https://www.megazone.com,합성 콘텐츠 다운로드
L-020,LG CNS,KR,IT 서비스,https://www.lgcns.com,합성 캠페인
L-021,삼성SDS,KR,IT 서비스·클라우드,https://www.samsungsds.com,합성 이벤트
L-022,현대오토에버,KR,모빌리티 IT,https://www.hyundai-autoever.com,합성 웨비나
L-023,NHN,KR,IT·SaaS,https://www.nhn.com,합성 콘텐츠 다운로드
L-024,넥슨코리아,KR,게임,https://company.nexon.com,합성 캠페인
L-025,크래프톤,KR,게임,https://www.krafton.com,합성 이벤트
L-026,넷마블,KR,게임,https://company.netmarble.com,합성 웨비나
L-027,엔씨소프트,KR,게임,https://about.ncsoft.com,합성 콘텐츠 다운로드
L-028,카카오모빌리티,KR,모빌리티,https://www.kakaomobility.com,합성 캠페인
L-029,카카오페이,KR,핀테크,https://www.kakaopaycorp.com,합성 이벤트
L-030,카카오엔터프라이즈,KR,B2B AI·클라우드,https://kakaoenterprise.com,합성 웨비나
